timestamp;buyer;seller;symbol;currency;price;quantity
0;;;STARFRUIT;SEASHELLS;5003;13
0;;;STARFRUIT;SEASHELLS;5003;1
0;;SUBMISSION;AMETHYSTS;SEASHELLS;10002;1
1100;;;AMETHYSTS;SEASHELLS;9996;2
1200;SUBMISSION;;AMETHYSTS;SEASHELLS;9998;1
1300;;SUBMISSION;AMETHYSTS;SEASHELLS;10002;1
1700;;;AMETHYSTS;SEASHELLS;10002;1
1700;;;STARFRUIT;SEASHELLS;5002;8
1800;;SUBMISSION;AMETHYSTS;SEASHELLS;10002;1
1900;;;STARFRUIT;SEASHELLS;5002;1
2000;SUBMISSION;;AMETHYSTS;SEASHELLS;9998;1
2400;;;STARFRUIT;SEASHELLS;4997;1
2900;;;AMETHYSTS;SEASHELLS;9996;11
2900;;;AMETHYSTS;SEASHELLS;9996;1
3000;;;AMETHYSTS;SEASHELLS;10005;1
3000;;;STARFRUIT;SEASHELLS;5003;1
3100;;;STARFRUIT;SEASHELLS;4996;2
3100;;;AMETHYSTS;SEASHELLS;9996;2
3200;;;AMETHYSTS;SEASHELLS;9996;1
3200;;;STARFRUIT;SEASHELLS;4996;2
3600;SUBMISSION;;AMETHYSTS;SEASHELLS;9998;4
3700;;SUBMISSION;AMETHYSTS;SEASHELLS;10002;1
3800;;;AMETHYSTS;SEASHELLS;9996;1
3800;;;STARFRUIT;SEASHELLS;4997;1
3800;;;STARFRUIT;SEASHELLS;4997;14
4200;;;AMETHYSTS;SEASHELLS;9996;2
4300;;;STARFRUIT;SEASHELLS;4998;2
4300;;;STARFRUIT;SEASHELLS;5003;1
4300;SUBMISSION;;AMETHYSTS;SEASHELLS;9998;1
4300;SUBMISSION;;AMETHYSTS;SEASHELLS;9998;2
4500;;;STARFRUIT;SEASHELLS;4997;1
4700;SUBMISSION;;STARFRUIT;SEASHELLS;4998;7
4800;;;AMETHYSTS;SEASHELLS;10004;2
4800;;;STARFRUIT;SEASHELLS;5004;2
5300;;SUBMISSION;STARFRUIT;SEASHELLS;5002;1
5600;;SUBMISSION;STARFRUIT;SEASHELLS;5002;2
5700;;;STARFRUIT;SEASHELLS;4999;1
6100;;;STARFRUIT;SEASHELLS;4999;1
6500;SUBMISSION;;AMETHYSTS;SEASHELLS;9998;1
6600;;;AMETHYSTS;SEASHELLS;10004;2
6700;;;AMETHYSTS;SEASHELLS;10002;3
6900;;;STARFRUIT;SEASHELLS;5003;1
6900;;;AMETHYSTS;SEASHELLS;10002;1
7000;;SUBMISSION;STARFRUIT;SEASHELLS;5002;4
7000;;SUBMISSION;STARFRUIT;SEASHELLS;5002;2
7000;;;AMETHYSTS;SEASHELLS;10005;2
7300;;;STARFRUIT;SEASHELLS;5004;2
7300;;SUBMISSION;AMETHYSTS;SEASHELLS;10002;1
7300;;SUBMISSION;AMETHYSTS;SEASHELLS;10002;2
7400;;;STARFRUIT;SEASHELLS;4998;1
7700;;;STARFRUIT;SEASHELLS;4997;1
8100;;;AMETHYSTS;SEASHELLS;9996;1
8100;;;STARFRUIT;SEASHELLS;5004;1
8600;;;STARFRUIT;SEASHELLS;4998;1
8800;SUBMISSION;;AMETHYSTS;SEASHELLS;9998;1
9200;;;STARFRUIT;SEASHELLS;5003;1
9900;;SUBMISSION;STARFRUIT;SEASHELLS;5001;4
10300;;;AMETHYSTS;SEASHELLS;9998;1
10300;;SUBMISSION;STARFRUIT;SEASHELLS;5001;1
10400;;SUBMISSION;AMETHYSTS;SEASHELLS;10002;1
10600;SUBMISSION;;AMETHYSTS;SEASHELLS;10000;4
10800;;;AMETHYSTS;SEASHELLS;10004;2
10800;;;AMETHYSTS;SEASHELLS;10004;10
11000;;SUBMISSION;STARFRUIT;SEASHELLS;5002;7
11100;;;AMETHYSTS;SEASHELLS;9998;4
11100;;;AMETHYSTS;SEASHELLS;9998;3
11300;;;STARFRUIT;SEASHELLS;4999;3
11400;;;AMETHYSTS;SEASHELLS;9996;1
11400;;;STARFRUIT;SEASHELLS;4997;2
11500;;;AMETHYSTS;SEASHELLS;10002;2
11700;SUBMISSION;;STARFRUIT;SEASHELLS;4998;2
11800;SUBMISSION;;AMETHYSTS;SEASHELLS;10000;5
11800;;;STARFRUIT;SEASHELLS;5003;1
11800;;;STARFRUIT;SEASHELLS;5000;4
12000;;SUBMISSION;AMETHYSTS;SEASHELLS;10002;1
12400;;;STARFRUIT;SEASHELLS;5005;15
12500;;;STARFRUIT;SEASHELLS;4998;1
13000;;SUBMISSION;AMETHYSTS;SEASHELLS;10002;1
13000;;SUBMISSION;STARFRUIT;SEASHELLS;5002;1
13200;;;AMETHYSTS;SEASHELLS;9998;2
13300;;;STARFRUIT;SEASHELLS;5004;2
13300;;;AMETHYSTS;SEASHELLS;10005;2
13600;;;STARFRUIT;SEASHELLS;4997;1
13700;SUBMISSION;;AMETHYSTS;SEASHELLS;9998;4
13900;;;STARFRUIT;SEASHELLS;5001;6
13900;SUBMISSION;;AMETHYSTS;SEASHELLS;10000;6
14200;SUBMISSION;;STARFRUIT;SEASHELLS;4998;1
14600;SUBMISSION;;AMETHYSTS;SEASHELLS;10000;1
15000;;;STARFRUIT;SEASHELLS;5003;2
15000;;SUBMISSION;STARFRUIT;SEASHELLS;5003;8
15200;SUBMISSION;;STARFRUIT;SEASHELLS;4998;1
15300;;;AMETHYSTS;SEASHELLS;10002;1
15400;;;AMETHYSTS;SEASHELLS;9998;1
15500;;SUBMISSION;AMETHYSTS;SEASHELLS;10002;1
15600;;;AMETHYSTS;SEASHELLS;10004;2
15600;;;STARFRUIT;SEASHELLS;5003;2
15700;;;AMETHYSTS;SEASHELLS;10002;1
15700;;SUBMISSION;AMETHYSTS;SEASHELLS;10002;5
15800;;SUBMISSION;STARFRUIT;SEASHELLS;5002;1
15900;SUBMISSION;;AMETHYSTS;SEASHELLS;10000;6
16200;;;AMETHYSTS;SEASHELLS;9998;1
16200;SUBMISSION;;STARFRUIT;SEASHELLS;4998;1
16200;;;STARFRUIT;SEASHELLS;4998;1
16300;;;AMETHYSTS;SEASHELLS;10004;1
16400;;;AMETHYSTS;SEASHELLS;10002;1
16600;;;STARFRUIT;SEASHELLS;4996;1
16700;;SUBMISSION;STARFRUIT;SEASHELLS;5001;1
16700;;SUBMISSION;AMETHYSTS;SEASHELLS;10002;1
16800;;;AMETHYSTS;SEASHELLS;9995;5
18200;SUBMISSION;;STARFRUIT;SEASHELLS;4997;4
18200;;;STARFRUIT;SEASHELLS;4996;1
18500;SUBMISSION;;AMETHYSTS;SEASHELLS;10000;1
18500;;;STARFRUIT;SEASHELLS;5000;1
18600;;SUBMISSION;AMETHYSTS;SEASHELLS;10002;1
19000;SUBMISSION;;STARFRUIT;SEASHELLS;4996;10
19200;SUBMISSION;;AMETHYSTS;SEASHELLS;9998;1
19300;;;AMETHYSTS;SEASHELLS;9996;1
19300;;;STARFRUIT;SEASHELLS;4996;1
19700;;SUBMISSION;AMETHYSTS;SEASHELLS;10002;1
19700;;;STARFRUIT;SEASHELLS;4997;1
20100;;SUBMISSION;AMETHYSTS;SEASHELLS;10002;1
20100;;;AMETHYSTS;SEASHELLS;10002;4
20200;SUBMISSION;;AMETHYSTS;SEASHELLS;9998;1
20300;SUBMISSION;;STARFRUIT;SEASHELLS;4997;1
20400;;;STARFRUIT;SEASHELLS;4999;4
20400;SUBMISSION;;AMETHYSTS;SEASHELLS;10000;1
20500;;SUBMISSION;STARFRUIT;SEASHELLS;4999;4
20500;;;AMETHYSTS;SEASHELLS;9998;1
20700;;SUBMISSION;AMETHYSTS;SEASHELLS;10002;1
20700;;;AMETHYSTS;SEASHELLS;10000;6
21200;SUBMISSION;;AMETHYSTS;SEASHELLS;9998;1
21300;;;AMETHYSTS;SEASHELLS;9996;7
21300;;;AMETHYSTS;SEASHELLS;9996;1
21500;;SUBMISSION;STARFRUIT;SEASHELLS;5000;4
21600;;SUBMISSION;AMETHYSTS;SEASHELLS;10002;12
21700;;;STARFRUIT;SEASHELLS;5002;8
21900;;SUBMISSION;AMETHYSTS;SEASHELLS;10002;3
22100;;;STARFRUIT;SEASHELLS;4997;1
22200;;;AMETHYSTS;SEASHELLS;9998;6
22400;SUBMISSION;;AMETHYSTS;SEASHELLS;9998;1
22400;;;AMETHYSTS;SEASHELLS;10004;2
