timestamp;buyer;seller;symbol;currency;price;quantity
0;SUBMISSION;;GIFT_BASKET;SEASHELLS;69559;2
0;;;STRAWBERRIES;SEASHELLS;3984;6
0;;;CHOCOLATE;SEASHELLS;7750;8
0;SUBMISSION;;GIFT_BASKET;SEASHELLS;69560;14
0;SUBMISSION;;GIFT_BASKET;SEASHELLS;69561;30
100;;SUBMISSION;STARFRUIT;SEASHELLS;5006;7
100;;;STARFRUIT;SEASHELLS;5005;4
100;SUBMISSION;;GIFT_BASKET;SEASHELLS;69561;2
100;SUBMISSION;;AMETHYSTS;SEASHELLS;9998;1
100;SUBMISSION;;GIFT_BASKET;SEASHELLS;69563;2
100;SUBMISSION;;GIFT_BASKET;SEASHELLS;69562;10
200;;;ROSES;SEASHELLS;14422;2
300;;;STRAWBERRIES;SEASHELLS;3985;10
400;;;CHOCOLATE;SEASHELLS;7750;5
500;;SUBMISSION;AMETHYSTS;SEASHELLS;10000;1
800;SUBMISSION;;AMETHYSTS;SEASHELLS;9998;1
800;SUBMISSION;;STARFRUIT;SEASHELLS;5001;1
800;;;STARFRUIT;SEASHELLS;5001;1
800;;;CHOCOLATE;SEASHELLS;7750;5
900;;SUBMISSION;AMETHYSTS;SEASHELLS;10002;1
900;;;STRAWBERRIES;SEASHELLS;3985;9
1000;SUBMISSION;;AMETHYSTS;SEASHELLS;9996;7
1000;;;GIFT_BASKET;SEASHELLS;69511;7
1100;;SUBMISSION;AMETHYSTS;SEASHELLS;10002;4
1100;;;STRAWBERRIES;SEASHELLS;3984;5
1100;;;AMETHYSTS;SEASHELLS;10002;6
1300;;;STARFRUIT;SEASHELLS;5000;1
1300;SUBMISSION;;AMETHYSTS;SEASHELLS;9997;2
1300;SUBMISSION;;STARFRUIT;SEASHELLS;5001;2
1300;SUBMISSION;;AMETHYSTS;SEASHELLS;9998;1
1400;SUBMISSION;;STARFRUIT;SEASHELLS;5002;2
1500;;;STARFRUIT;SEASHELLS;5001;1
1800;;SUBMISSION;STARFRUIT;SEASHELLS;5003;3
1800;;;STARFRUIT;SEASHELLS;5003;2
2000;;;STRAWBERRIES;SEASHELLS;3983;4
2100;;;GIFT_BASKET;SEASHELLS;69508;9
